number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
2,1.0,1,1,3,1.0,4,10.0,8.0,1.0,9.0,2,66.0,0,1
2,1.0,1,1,6,1.0,2,6.0,3.0,3.0,3.0,2,31.0,0,1
2,2.0,1,4,7,1.0,1,6.0,14.0,1.0,18.0,2,35.0,0,1
2,1.0,1,4,3,1.0,1,6.0,4.0,1.0,18.0,1,34.0,0,1
2,2.0,1,4,1,1.0,2,6.0,1.0,1.0,7.0,2,35.0,0,1
2,2.0,1,4,6,1.0,1,8.0,8.0,1.0,9.0,1,46.0,1,0
2,2.0,1,1,6,1.0,3,7.0,1.0,1.0,18.0,1,42.0,1,0
2,1.0,1,1,6,1.0,1,4.0,3.0,1.0,18.0,1,19.0,0,1
2,1.0,1,1,6,1.0,1,6.0,1.0,3.0,9.0,1,33.0,1,0
2,1.0,1,1,9,9.0,9,8.0,5.0,1.0,99.0,1,54.0,0,1
2,1.0,1,4,3,1.0,2,7.0,0.0,1.0,4.0,2,41.0,1,0
2,1.0,1,7,6,9.0,2,9.0,7.0,1.0,99.0,1,57.0,0,1
2,1.0,1,4,6,1.0,1,6.0,15.0,1.0,16.0,1,33.0,0,1
1,2.0,2,1,3,1.0,1,9.0,2.0,1.0,18.0,2,59.0,0,1
2,3.0,1,7,1,9.0,2,8.0,10.0,1.0,99.0,1,52.0,0,1
2,3.0,1,1,7,9.0,9,6.0,2.0,1.0,99.0,2,32.0,0,1
2,1.0,1,7,7,9.0,9,6.0,11.0,1.0,99.0,1,34.0,0,1
2,2.0,1,1,6,1.0,1,7.0,3.0,1.0,18.0,4,41.0,0,1
2,1.0,1,1,6,1.0,1,6.0,8.0,1.0,18.0,1,26.0,0,1
1,1.0,1,1,6,1.0,0,10.0,9.0,1.0,5.0,1,67.0,0,1
2,1.0,1,1,6,1.0,1,6.0,14.0,1.0,9.0,1,32.0,1,0
2,2.0,1,1,6,1.0,1,4.0,11.0,1.0,18.0,1,18.0,0,1
2,3.0,1,1,6,9.0,3,6.0,13.0,1.0,99.0,1,27.0,0,1
2,2.0,1,1,6,1.0,1,8.0,9.0,1.0,18.0,1,48.0,0,1
2,1.0,1,1,3,1.0,1,8.0,3.0,1.0,13.0,1,50.0,0,1
2,1.0,1,4,3,1.0,1,7.0,8.0,1.0,10.0,1,38.0,0,1
