number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
1,1.0,1,4,1,1.0,1.0,5.0,10.0,1.0,18.0,1,21.0,0,1
1,1.0,1,1,6,1.0,3.0,8.0,9.0,1.0,5.0,1,54.0,0,1
2,1.0,1,1,6,1.0,4.0,7.0,3.0,1.0,9.0,1,43.0,0,1
2,1.0,1,1,2,1.0,4.0,8.0,1.0,1.0,17.0,1,49.0,0,1
2,1.0,1,1,6,9.0,1.0,7.0,9.0,1.0,9.0,9,45.0,0,1
2,1.0,1,4,6,1.0,4.0,6.0,9.0,1.0,5.0,1,31.0,0,1
2,1.0,1,1,7,9.0,2.0,8.0,2.0,1.0,4.0,1,51.0,0,1
2,3.0,1,7,6,9.0,9.0,6.0,5.0,1.0,99.0,1,32.0,0,1
2,2.0,1,1,1,1.0,1.0,10.0,12.0,1.0,18.0,1,75.0,0,1
2,1.0,1,4,6,1.0,1.0,5.0,19.0,1.0,5.0,1,22.0,0,1
2,1.0,1,4,3,1.0,2.0,6.0,2.0,1.0,9.0,1,33.0,0,1
2,1.0,1,4,3,1.0,1.0,8.0,2.0,1.0,9.0,2,55.0,0,1
4,1.0,1,4,3,1.0,3.0,6.0,7.0,1.0,18.0,2,32.0,0,1
3,2.0,1,4,3,1.0,2.0,6.0,4.0,1.0,10.0,1,35.0,0,1
2,1.0,1,1,3,1.0,2.0,9.0,2.0,1.0,9.0,1,60.0,0,1
2,1.0,1,1,3,1.0,1.0,6.0,11.0,1.0,3.0,1,29.0,0,1
4,2.0,1,1,3,1.0,3.0,8.0,2.0,1.0,3.0,1,55.0,1,0
2,2.0,1,1,6,1.0,1.0,7.0,5.0,1.0,18.0,1,44.0,0,1
2,1.0,1,1,1,1.0,3.0,6.0,8.0,1.0,9.0,1,34.0,0,1
2,1.0,1,1,9,9.0,9.0,7.0,14.0,1.0,99.0,9,44.0,0,1
8,1.0,1,1,6,1.0,2.0,6.0,9.0,1.0,18.0,2,31.0,0,0
1,1.0,1,1,6,1.0,1.0,10.0,22.0,1.0,18.0,1,71.0,0,1
3,1.0,1,1,2,1.0,1.0,7.0,4.0,1.0,18.0,1,40.0,0,1
